comment_text,toxic
"""
 
 I'm sure if you worked on articles other than Arcayne you'd do fine. You two seem to have a problem with each other, so why do you seek him out and edit where he does? Ã¢â‚¬â€œxenotalk """,0
"D'aww! He matches this background colour I'm seemingly stuck with. Thanks. (talk) 21:51, January 11, 2016 (UTC)",0
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and talking to me through edits instead of my talk page. He seems to care more about the formatting than the actual info.",0
"""
 More
 I can't make any real suggestions on improvement - I wondered if the section statistics should be later on, or a subsection of """"types of accidents"""" -I think the references may need tidying so that they are all in the exact same format ie date format etc. I can do that later on, if no-one else does first - if you have any preferences for formatting style on references or want to do it yourself please let me know.
 
 There appears to be a backlog on articles for review so I guess there may be a delay until a reviewer turns up. It's listed in the relevant form eg Wikipedia:Good_article_nominations#Transport """,0
REDIRECT Talk:Voydan Pop Georgiev- Chernodrinski,0
The Mitsurugi point made no sense - why not argue to include Hindi on Ryo Sakazaki's page to include more information?,0
"Don't mean to bother you 
 
 I see that you're writing something regarding removing anything posted here and if you do oh well but if not and you can acctually discuss this with me then even better.
 
 I'd like to ask you to take a closer look at the Premature wrestling deaths catagory and the men listed in it, surely these men belong together in some catagory. Is there anything that you think we can do with the catagory besides delting it?",0
"""
 
  Regarding your recent edits 
 
 Once again, please read WP:FILMPLOT before editing any more film articles. Your edits are simply not good, with entirely too many unnecessary details and very bad writing. Please stop before you do further damage. -''''''The '45 """,0
"""
 Good to know. About me, yeah, I'm studying now.(Deepu) """,0
"""
 
  Snowflakes are NOT always symmetrical! 
 
 Under Geometry it is stated that """"A snowflake always has six symmetric arms."""" This assertion is simply not true! According to Kenneth Libbrecht, """"The rather unattractive irregular crystals are by far the most common variety."""" http://www.its.caltech.edu/~atomic/snowcrystals/myths/myths.htm#perfection Someone really need to take a look at his site and get FACTS off of it because I still see a decent number of falsities on this page. (forgive me Im new at this and dont want to edit anything)""",0
"""
 
  The Signpost: 24 September 2012 
 
  Read this Signpost in full
  Single-page
  Unsubscribe
  
 """,0
